Open,Close,High,Low,Volume,Date
47024.35,45529.11,47568.17,45315.88,,03/31/22
47421.19,47041.86,47701.49,46730.78,,03/30/22
47156.58,47486.62,48068.62,47087.56,,03/29/22
46804.24,47114.13,48189.37,46686.96,,03/28/22
44537.17,46839.3,46861.99,44453.46,,03/27/22
44352.64,44507.97,44798.84,44154.16,,03/26/22
43989.29,44381.24,45098.86,43677.75,,03/25/22
42911.47,43994.88,44204.64,42700.66,,03/24/22
42370.94,42957.75,42957.75,41818.64,,03/23/22
41007.19,42341.39,43179.07,40909.3,,03/22/22
41274.37,41073.69,41484.75,40560.19,,03/21/22
42210.52,41221.72,42274.28,40958.37,,03/20/22
41787.52,42217.14,42359.34,41578.18,,03/19/22
40933.46,41845.22,42207.84,40276.75,,03/18/22
41122.29,40964.65,41370.46,40612.14,,03/17/22
39334.08,41132.88,41475.79,38986.76,,03/16/22
39677.07,39350.29,39827.63,38300.13,,03/15/22
37767.47,39700.66,39774.99,37628.78,,03/14/22
38831.33,37830.15,39264.09,37634.67,,03/13/22
38713.23,38891.02,39336.11,38695.51,,03/12/22
39427.71,38764.89,40126.2,38276.29,,03/11/22
41980.75,39444.77,42038.58,38833.59,,03/10/22
38725.61,41997.77,42531.47,38687.65,,03/09/22
38018.86,38737.75,39331.56,37931.72,,03/08/22
38472.01,38050.64,39501.02,37228.38,,03/07/22
39395.27,38403.59,39644.14,38158.72,,03/06/22
39163.43,39392.1,39581.54,38702.19,,03/05/22
42451.44,39119.57,42493.02,38621.68,,03/04/22
43906.81,42453.79,44065.43,41871.9,,03/03/22
44415.12,43918.96,45143.3,43393.35,,03/02/22
43209.33,44390.39,44842.58,42931.75,,03/01/22
37703.57,43170.2,43816.9,37506.89,,02/28/22
39140.04,37707.09,39817.42,37242.65,,02/27/22
39222.7,39130.58,40034.41,38679.46,,02/26/22
38360.65,39219.76,39663.88,38076.86,,02/25/22
37270.37,38339.98,39080.15,34432.35,,02/24/22
38277.02,37313.04,39188.41,37174.23,,02/23/22
37075.89,38295.02,38428.1,36464.98,,02/22/22
38432.12,37029.99,39425.63,36966.65,,02/21/22
40091.65,38422.95,40136.46,38070.89,,02/20/22
40006.66,40136.35,40446.82,39697.79,,02/19/22
40530.9,40022.48,40938.76,39619.58,,02/18/22
43897.91,40501.33,44164.39,40194.68,,02/17/22
44537.91,43960.97,44604.65,43417.94,,02/16/22
42579.77,44601.52,44745.61,42489.02,,02/15/22
42095.07,42574.22,42808.64,41669.89,,02/14/22
42226.94,42217.96,42728.19,41923.12,,02/13/22
42394.43,42238.65,43012.12,41826.91,,02/12/22
43525.94,42400.2,43906.66,42054.26,,02/11/22
44412.12,43570.13,45671.93,43346.5,,02/10/22
44103.47,44319.94,44802.08,43230.71,,02/09/22
43893.74,44139.77,45386.07,42787.15,,02/08/22
42469.44922,43860.24,44461.1,41729.65,,02/07/22
41447.37891,42398.08,42561.69141,41254.80078,,02/06/22
41544.30078,41432.33,41897.94141,41004.10156,,02/05/22
37285.80859,41598.65,41625.46094,37076.98047,,02/04/22
36933.28906,37077.18,37114.92188,36330.69141,,02/03/22
38741.82813,36930.04,38865.28125,36748.07031,,02/02/22
38452.55859,38747.44,39242.82031,38104.5,,02/01/22
37919.57813,38509.44,38711.46875,36714.83984,,01/31/22
38173.19922,37922.46,38325.42969,37426.91016,,01/30/22
37710.35938,38158.79,38620.30859,37386.55078,,01/29/22
37149.60156,37796.98,37992.83984,36211.25,,01/28/22
36831.71094,37176.68,37202.73047,35615.10156,,01/27/22
36976.28906,36857.48,38654.14844,36337,,01/26/22
36676.73047,36945.29,37487.98047,35743.75,,01/25/22
36272.87109,36676.12,37397.23828,33191.62109,,01/24/22
35100.08984,36301.05,36497.46094,34711.71875,,01/23/22
36521.51953,35051.75,36706.30859,34388.17969,,01/22/22
40702.89844,36416.67,41087.67969,36033.75,,01/21/22
41712.23047,40664.65,43469.25,40638.21875,,01/20/22
42388.64844,41722.01,42562.91016,41208.28125,,01/19/22
42254.46094,42375.78,42587.39844,41350.41016,,01/18/22
