Open,Close,High,Low,Volume,Date
1933.45,1936.9,1949.05,1919.5,,03/31/22
1920.7,1932.7,1937.95,1916.05,,03/30/22
1922.75,1919.55,1928.85,1890.45,,03/29/22
1956.05,1922.75,1958,1917.35,,03/28/22
1958.4,1958.4,1958.4,1958.4,,03/27/22
1958.4,1958.4,1964,1944.32,,03/25/22
1945.95,1958.5,1965.5,1937.59,,03/24/22
1920.35,1945.1,1947.99,1915.7,,03/23/22
1935.8,1921.73,1938.05,1911.2,,03/22/22
1919.8,1936.25,1939.83,1918.39,,03/21/22
1929,1920.05,1929,1918.8,,03/20/22
1942.1,1921.6,1945.05,1918.35,,03/18/22
1926.45,1942.3,1949.4,1925.4,,03/17/22
1916.8,1925.7,1929.4,1895.75,,03/16/22
1951.4,1916.55,1954.6,1907.2,,03/15/22
1979.35,1953.9,1981,1950.45,,03/14/22
1985.65,1982.85,1989.44,1972.85,,03/13/22
1997.65,1988.4,1998.75,1959.65,,03/11/22
1991.3,1996.7,2009.2,1971.35,,03/10/22
2051,1991.02,2059,1978.35,,03/09/22
1997.75,2049.85,2070.13,1982.5,,03/08/22
1982.25,1998.1,2002.25,1961.25,,03/07/22
1936.8,1974.5,1974.5,1930.17,,03/04/22
1928.55,1936.25,1940.95,1922.11,,03/03/22
1943.5,1928.6,1947.25,1915.1,,03/02/22
1908.25,1945.5,1950,1901.3,,03/01/22
1906.25,1908.85,1919.2,1891.09,,02/28/22
1889.28,1889.28,1889.28,1889.28,,02/27/22
1889.28,1889.28,1889.28,1889.28,,02/26/22
1907.65,1889.28,1920.9,1883.25,,02/25/22
1910.25,1903.88,1973.45,1881.4,,02/24/22
1898.9,1909.33,1910.5,1889.62,,02/23/22
1911.8,1898.25,1913.98,1893.49,,02/22/22
1895.48,1904.25,1907.7,1887.7,,02/21/22
1895.48,1895.48,1895.48,1895.48,,02/20/22
1898.9,1895.48,1902.45,1886.55,,02/18/22
1869.85,1898.15,1901.15,1867.59,,02/17/22
1854.05,1869.75,1872.2,1850.32,,02/16/22
1870.85,1853.75,1879.19,1844.84,,02/15/22
1860,1871.55,1873.54,1851,,02/14/22
1843.5,1843.5,1843.5,1843.5,,02/13/22
1827.02,1858.7,1865.1,1821.6,,02/11/22
1833,1826.95,1841.5,1822.4,,02/10/22
1825.85,1833.2,1835.47,1824.82,,02/09/22
1821.4,1825.85,1828.5,1815.48,,02/08/22
1808.2,1820.55,1823.09,1808.2,,02/07/22
1806.82,1808.6,1809.6,1806.82,,02/06/22
1807,1806.82,1807,1806.82,,02/05/22
1804.95,1808,1814.5,1792.5,,02/04/22
1806.98,1804.8,1808.6,1788.9,,02/03/22
1800.89,1806.95,1810.65,1794.6,,02/02/22
1797.85,1801.15,1808.5,1795.5,,02/01/22
1789.35,1798.26,1799.65,1785.4,,01/31/22
1796,1796,1796,1796,,01/29/22
1797.2,1796,1799.25,1780.3,,01/28/22
1819.85,1797.35,1822.15,1791.58,,01/27/22
1847.65,1819.75,1850.1,1815.6,,01/26/22
1842.85,1848.15,1853.3,1834.9,,01/25/22
1833.4,1843.3,1844.03,1829.49,,01/24/22
1833.63,1833.63,1833.63,1833.63,,01/23/22
1833.63,1833.63,1833.63,1833.63,,01/22/22
1839.1,1833.63,1842.95,1828.42,,01/21/22
1840.05,1839.45,1847.75,1836.3,,01/20/22
1814.25,1840.25,1843.15,1810.35,,01/19/22
1818.48,1813.8,1822.42,1806.09,,01/18/22
1817.5,1819.55,1823.1,1813.07,,01/17/22
1817.7,1817.7,1817.7,1817.7,,01/16/22
1821.5,1817.7,1829.1,1814.6,,01/14/22
1825.71,1822.8,1827.9,1812.2,,01/13/22
1820.75,1826.1,1827.75,1814.8,,01/12/22
1800.45,1821.75,1822.8,1800.45,,01/11/22
1795.15,1801.5,1802.35,1790.5,,01/10/22
1791.3,1796.95,1798.5,1783.93,,01/07/22
1810.4,1790.1,1811.3,1786.4,,01/06/22
1813.88,1810.15,1829.15,1808.39,,01/05/22
1802.8,1814.55,1815.99,1799.3,,01/04/22
1829.05,1801.25,1829.05,1798.3,,01/03/22
1829.05,1829.05,1829.05,1829.05,,01/02/22
1815.45,1821.5,1827.45,1814.6,,12/31/21
1804.3,1814.95,1816.9,1796.34,,12/30/21
1806.34,1804.55,1807.65,1789.33,,12/29/21
1811.95,1805.85,1819.85,1804.79,,12/28/21
1802.93,1812.15,1813.1,1802.93,,12/27/21
1802.93,1802.93,1802.93,1802.93,,12/26/21
1808.8,1802.93,1812.7,1802.93,,12/24/21
1803.4,1808.8,1810.5,1799.5,,12/23/21
